Statistical profiling result from isolate-0x3c50778-v8.log, (22345 ticks, 1749 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *ok assert.js:345:12
      1    0.0%    0.0%  LazyCompile: *getDefaultTriggerAsyncId internal/async_hooks.js:270:34
      1    0.0%    0.0%  LazyCompile: *append internal/linkedlist.js:29:16
      1    0.0%    0.0%  Builtin: ToObject
      1    0.0%    0.0%  Builtin: ToInteger
      1    0.0%    0.0%  Builtin: StringPrototypeIndexOf
      1    0.0%    0.0%  Builtin: StrictEqual
      1    0.0%    0.0%  Builtin: ResolvePromise
      1    0.0%    0.0%  Builtin: RecordWrite
      1    0.0%    0.0%  Builtin: ObjectPrototypeHasOwnProperty
      1    0.0%    0.0%  Builtin: NonPrimitiveToPrimitive_Default
      1    0.0%    0.0%  Builtin: LoadIC_FunctionPrototype
      1    0.0%    0.0%  Builtin: KeyedStoreICTrampoline
      1    0.0%    0.0%  Builtin: JSBuiltinsConstructStub
      1    0.0%    0.0%  Builtin: InterpreterPushArgsThenConstructArrayFunction
      1    0.0%    0.0%  Builtin: InterpreterPushArgsThenCallWithFinalSpread
      1    0.0%    0.0%  Builtin: GreaterThanOrEqual
      1    0.0%    0.0%  Builtin: CopyFastSmiOrObjectElements
      1    0.0%    0.0%  Builtin: ConstructFunction
      1    0.0%    0.0%  Builtin: CallWithSpread
      1    0.0%    0.0%  Builtin: CallForwardVarargs
      1    0.0%    0.0%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvInRegister_NoBuiltinExit
      1    0.0%    0.0%  Builtin: ArrayPrototypeShift
      1    0.0%    0.0%  Builtin: ArrayForEach

 [C++]:
   ticks  total  nonlib   name
   8817   39.5%   39.7%  epoll_pwait
   1688    7.6%    7.6%  __libc_write
    997    4.5%    4.5%  __clock_gettime
    521    2.3%    2.3%  void node::StreamBase::JSMethod<node::LibuvStreamWrap, &(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
    372    1.7%    1.7%  v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<true>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
    367    1.6%    1.7%  v8::internal::JsonStringifier::SerializeString(v8::internal::Handle<v8::internal::String>)
    290    1.3%    1.3%  __GI___pthread_getspecific
    143    0.6%    0.6%  v8::internal::String::GetFlatContent()
    128    0.6%    0.6%  __libc_read
    114    0.5%    0.5%  v8::Isolate::GetCurrentContext()
    114    0.5%    0.5%  node::contextify::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
